D,d,n_eff,sparse_budget,source_distribution,source_std,realized_source_std,noise_std,method,risk_mean,risk_std,bias,variance,bias_plus_variance,support
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.7,unilora,32.04383777539911,0.016481912829302676,31.99835871269667,0.04547906270244418,32.04383777539911,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.7,prolosa,30.64052798558654,0.11754637824501192,28.36971957054208,2.27080841504446,30.64052798558654,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.8,lora,12.936567281178212,0.2741370805264789,0.0635135271261582,12.873053754052053,12.936567281178212,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.8,unilora,32.04767895729282,0.015188189200472215,31.998480480810954,0.04919847648186739,32.047678957292824,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.8,prolosa,30.728617584240396,0.13085464260325175,28.34028367433767,2.388333909902725,30.728617584240396,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.9,lora,14.447656807962575,0.3139264896458651,0.07155013077520474,14.376106677187373,14.447656807962577,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.9,unilora,32.05340830921486,0.021132452968647415,31.998408005149713,0.055000304065141385,32.05340830921485,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.9,prolosa,30.868325027494038,0.15123337484015015,28.29583863642783,2.5724863910662066,30.868325027494038,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,2.0,lora,16.012105664891752,0.35264736816444453,0.08069389564044577,15.93141176925131,16.012105664891756,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,2.0,unilora,32.061508463540456,0.021650831582514397,31.998381202330542,0.06312726120990644,32.06150846354045,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,2.0,prolosa,30.979651262068884,0.15795431669179105,28.233508053526116,2.746143208542767,30.979651262068884,noisy_residual
