noise_std,method,risk_mean,risk_std,bias,variance
1.4,prolosa_random,5.4607767914240135,0.2084672889232336,5.3338806011997955,0.1268961902242174
1.4,prolosa_oracle,0.14196347899918588,0.019051723639722323,0.052807059635949324,0.08915641936323655
1.5,lora,9.004045284644997,0.19692481419596064,0.04430668517031679,8.95973859947468
1.5,unilora,5.438530734550989,0.01307040944444142,5.4033002621717685,0.03523047237922111
1.5,unilora_matched,5.451927421147079,0.020868603865947796,5.349273406592754,0.10265401455432382
1.5,prolosa,0.46578471788196796,0.054886299368693055,0.0788942495118499,0.3868904683701181
1.5,prolosa_random,5.459699512884276,0.30391824942034773,5.299870859068225,0.15982865381605305
1.5,prolosa_oracle,0.16074263120583904,0.02265064443138113,0.053047523520086154,0.1076951076857529
1.6,lora,10.230174198900864,0.21496949152403805,0.05143174112088784,10.178742457779974
1.6,unilora,5.4429110263000275,0.014256910494633703,5.403322904246453,0.03958812205357544
1.6,unilora_matched,5.469119843211988,0.024008288451483818,5.34942774336522,0.11969209984676679
1.6,prolosa,0.536775372677969,0.05794539737969078,0.08530044550763678,0.45147492717033216
1.6,prolosa_random,5.488637006157262,0.21045109221545816,5.338964084036558,0.14967292212070674
1.6,prolosa_oracle,0.170977876575743,0.025013999847708322,0.05293776685021477,0.11804010972552823
1.7,lora,11.574297829586564,0.267399649882562,0.05645484629253537,11.517842983294031
1.7,unilora,5.4470802760891255,0.016526505463463986,5.403344952389105,0.0437353237000203
1.7,unilora_matched,5.483745165611493,0.02786039683423358,5.3494420031476535,0.13430316246384058
1.7,prolosa,0.6130780064867715,0.07422795424974425,0.09106389961548772,0.5220141068712838
1.7,prolosa_random,5.52013546959982,0.0649509276299441,5.367822577151941,0.1523128924478787
1.7,prolosa_oracle,0.18577665607796065,0.02838920619428962,0.0530866898956759,0.1326899661822848
1.8,lora,12.961510589991883,0.2882407351152131,0.06276106195323758,12.898749528038644
1.8,unilora,5.453663664038784,0.01907977625781994,5.403473132534401,0.05019053150438279
1.8,unilora_matched,5.502305488416116,0.03201016779331557,5.349641198851986,0.15266428956413308
1.8,prolosa,0.697174257499992,0.0858667788316354,0.09887212465121414,0.5983021328487779
1.8,prolosa_random,5.540987028417899,0.06073484076269612,5.373664588529101,0.16732243988879766
1.8,prolosa_oracle,0.20434616627775576,0.03243724959567193,0.05319875404734546,0.15114741223041028
1.9,lora,14.42514212338947,0.32536152663429985,0.07060202805315027,14.354540095336322
1.9,unilora,5.456182901782492,0.017937925195525128,5.403312560271125,0.05287034151136674
1.9,unilora_matched,5.515277326876928,0.03588644879820579,5.349524965601235,0.1657523612756926
1.9,prolosa,0.793772995944168,0.09257060264304966,0.102907443684629,0.690865552259539
1.9,prolosa_random,5.519182979231211,0.2927960205849501,5.305823954552272,0.21335902467893805
1.9,prolosa_oracle,0.2199271885743801,0.03062476195965948,0.05343310254933051,0.16649408602504961
2.0,lora,15.980113865055547,0.33562175963109414,0.08128877664992236,15.898825088405625
2.0,unilora,5.4654500197924305,0.021737923012927672,5.403562935915273,0.06188708387715545
2.0,unilora_matched,5.532724727639098,0.03636849228016413,5.349852061552026,0.182872666087071
2.0,prolosa,0.9049740236321184,0.1308157701413705,0.11379663456825267,0.7911773890638658
2.0,prolosa_random,5.537443483120205,0.30030252104190663,5.304964000094944,0.2324794830252634
2.0,prolosa_oracle,0.23391826436136756,0.04029938098266861,0.05381407534047429,0.18010418902089328
